"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","NUM_COLLISIONS"
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,40.2,10.7,550
"59",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,45.2,3.9,517
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,40,4.9,603
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,36.7,5.9,474
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,32.6,6.6,502
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,32.8,8.6,597
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,37.9,7.2,527
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,40.1,10.9,475
"66",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,36.7,10.6,535
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,34,6.6,851
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,43.7,5.9,569
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,41.8,4.1,415
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,44.7,5.5,522
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,50.3,6.6,547
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,45,5.8,636
"73",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,35.6,9.2,557
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,36.1,7.3,607
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,37.3,4.7,521
