"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,40.2,36.8,550
"59",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,45.2,32.9,517
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,40,27.4,603
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,36.7,22.8,474
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,32.6,18.7,502
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,32.8,16.4,597
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,37.9,20.6,527
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,40.1,29.3,475
"66",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,36.7,28.2,535
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,34,30.2,851
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,43.7,22.1,569
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,41.8,28.6,415
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,44.7,38.2,522
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,50.3,47.3,547
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,45,29.9,636
"73",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,35.6,13.6,557
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,36.1,13.5,607
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,37.3,24.1,521
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,33,20,426
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,32.1,14.1,623
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,36,32.2,559
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,38.5,18.9,540
"80",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,35.7,16,508
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,34,13.9,604
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,38.4,17.6,488
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,39.1,18.2,451
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,38.3,27.7,498
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,42.2,27.3,425
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,43.8,22.7,441
"87",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,43.3,27.8,549
"88",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,46.7,26.4,520
"89",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,48,24.5,513
